image-style-- src	image-style-- src 2	grid-product__title	money
https://empress-clothing.com/cdn/shop/files/AZ9018.png?v=1780125491&width=1080	https://empress-clothing.com/cdn/shop/files/AZ9018A.png?v=1780125491&width=1000	Green Soft Silk Waistcoat Style Indo Western Palazzo Dress	₹ 7,884.99 INR
https://empress-clothing.com/cdn/shop/files/AZ9017.png?v=1780125170&width=1080	https://empress-clothing.com/cdn/shop/files/AZ9017A.png?v=1780125170&width=1000	Pink Soft Silk Waistcoat Style Indo Western Palazzo Dress	₹ 7,884.99 INR
https://empress-clothing.com/cdn/shop/files/AD126.jpg?v=1778917215&width=1080	https://empress-clothing.com/cdn/shop/files/AD126A.jpg?v=1778917215&width=1000	Salmon Orange Handwork & Embroidered Indo Western Palazzo Dress	₹ 8,549.99 INR
https://empress-clothing.com/cdn/shop/files/AD125.jpg?v=1778916999&width=1080	https://empress-clothing.com/cdn/shop/files/AD125A.jpg?v=1778916999&width=1000	Mint Green Handwork & Embroidered Indo Western Palazzo Dress	₹ 8,549.99 INR
https://empress-clothing.com/cdn/shop/files/PNFDR020.jpg?v=1775903243&width=1080	https://empress-clothing.com/cdn/shop/files/PNFDR020A.jpg?v=1775903243&width=1000	Lavender Silk Designer Indo Western Style Dress	₹ 8,074.99 INR
https://empress-clothing.com/cdn/shop/files/PNFDR019.jpg?v=1775902840&width=1080	https://empress-clothing.com/cdn/shop/files/PNFDR019A.png?v=1775902840&width=1000	Pastel Pink Silk Designer Indo Western Style Dress	₹ 9,499.99 INR
https://empress-clothing.com/cdn/shop/files/PNFDR018.jpg?v=1775902380&width=1080	https://empress-clothing.com/cdn/shop/files/PNFDR018A.jpg?v=1775902380&width=1000	Beige Golden Silk Crop Top with Farshi Pant & Shrug Dress	₹ 9,499.99 INR
https://empress-clothing.com/cdn/shop/files/PNFDR017.jpg?v=1775896933&width=1080	https://empress-clothing.com/cdn/shop/files/PNFDR017A.jpg?v=1775896933&width=1000	Sea Green Silk Kurta with Pant & One Side Shrug Set	₹ 9,499.99 INR
https://empress-clothing.com/cdn/shop/files/PNFBR16.png?v=1775896349&width=1080	https://empress-clothing.com/cdn/shop/files/PNFBR16A.jpg?v=1775896349&width=1000	Brown Silk Crop Top with Pant & One Side Shrug Set	₹ 9,499.99 INR
https://empress-clothing.com/cdn/shop/files/PNFDR011.jpg?v=1775895557&width=1080	https://empress-clothing.com/cdn/shop/files/PNFDR011A.jpg?v=1775895557&width=1000	Dark Maroon Cotton Ruffeled Sleeves Mini Indo Western Dress	₹ 6,649.99 INR
https://empress-clothing.com/cdn/shop/files/PNFDR010.jpg?v=1775895324&width=1080	https://empress-clothing.com/cdn/shop/files/PNFDR010A.jpg?v=1775895324&width=1000	Mustard Linen Ruffeled Sleeves Mini Indo Western Dress	₹ 6,649.99 INR
