image-style-- src	image-style-- src 2	grid-product__title	money
https://empress-clothing.com/cdn/shop/files/AZ9018.png?v=1780125491&width=1080	https://empress-clothing.com/cdn/shop/files/AZ9018A.png?v=1780125491&width=1000	Green Soft Silk Waistcoat Style Indo Western Palazzo Dress	₹ 7,884.99 INR
https://empress-clothing.com/cdn/shop/files/AZ9017.png?v=1780125170&width=1080	https://empress-clothing.com/cdn/shop/files/AZ9017A.png?v=1780125170&width=1000	Pink Soft Silk Waistcoat Style Indo Western Palazzo Dress	₹ 7,884.99 INR
https://empress-clothing.com/cdn/shop/files/AD142.jpg?v=1779521765&width=1080	https://empress-clothing.com/cdn/shop/files/AD142A.jpg?v=1779521765&width=1000	Pink Organza Handwork Festive Pant Style Dress	₹ 6,649.99 INR
https://empress-clothing.com/cdn/shop/files/AD141.jpg?v=1779521686&width=1080	https://empress-clothing.com/cdn/shop/files/AD141A.jpg?v=1779521686&width=1000	Blue Organza Handwork Festive Pant Style Dress	₹ 6,649.99 INR
https://empress-clothing.com/cdn/shop/files/AD140.jpg?v=1779521508&width=1080	https://empress-clothing.com/cdn/shop/files/AD140A.jpg?v=1779521508&width=1000	Cream Organza Handwork Festive Pant Style Dress	₹ 6,649.99 INR
https://empress-clothing.com/cdn/shop/files/AD139.jpg?v=1779520982&width=1080		Rose Pink Cotton Material Festive Pant Style Dress	₹ 6,649.99 INR
https://empress-clothing.com/cdn/shop/files/AD138.jpg?v=1779520913&width=1080		Peach Cotton Material Festive Pant Style Dress	₹ 6,649.99 INR
https://empress-clothing.com/cdn/shop/files/AD137.jpg?v=1779520842&width=1080		Pink Cotton Material Festive Pant Style Dress	₹ 6,649.99 INR
https://empress-clothing.com/cdn/shop/files/AD136.jpg?v=1779520721&width=1080	https://empress-clothing.com/cdn/shop/files/AD136A.jpg?v=1779520721&width=1000	Mustard Cotton Material Festive Pant Style Dress	₹ 6,649.99 INR
https://empress-clothing.com/cdn/shop/files/AD135.jpg?v=1779520447&width=1080	https://empress-clothing.com/cdn/shop/files/AD135A.jpg?v=1779520448&width=1000	Off White Organza Material Festive Pant Style Dress	₹ 6,174.99 INR
https://empress-clothing.com/cdn/shop/files/AD134.jpg?v=1779520363&width=1080	https://empress-clothing.com/cdn/shop/files/AD134A.jpg?v=1779520363&width=1000	Yellow Organza Material Festive Pant Style Dress	₹ 6,174.99 INR
https://empress-clothing.com/cdn/shop/files/AD133.jpg?v=1779520294&width=1080	https://empress-clothing.com/cdn/shop/files/AD133A.jpg?v=1779520294&width=1000	Pink Organza Material Festive Pant Style Dress	₹ 6,174.99 INR
https://empress-clothing.com/cdn/shop/files/AD132.jpg?v=1779519932&width=1080	https://empress-clothing.com/cdn/shop/files/AD132A.jpg?v=1779519932&width=1000	Orange Organza Material Festive Pant Style Dress	₹ 6,174.99 INR
