lazy src	title-single	main-p
https://stimg.b-cdn.net/images/450/data/2025y/January/54634/Party-Wear-Women's-Printed-Cotton-Canvas-Tote-Bag-KH-10.jpg	Party Wear Women's Printed Cotton Canvas Tote Bag	INR 1950
https://stimg.b-cdn.net/images/450/data/2025y/January/54634/Party-Wear-Women's-Printed-Cotton-Canvas-Tote-Bag-KH-9.jpg	Party Wear Women's Printed Cotton Canvas Tote Bag	INR 1950
https://stimg.b-cdn.net/images/450/data/2025y/January/54634/Party-Wear-Women's-Printed-Cotton-Canvas-Tote-Bag-KH-8.jpg	Party Wear Women's Printed Cotton Canvas Tote Bag	INR 1950
https://stimg.b-cdn.net/images/450/data/2025y/January/54633/Party-Wear-Women's-Printed-Cotton-Canvas-Tote-Bag-KH-7.jpg	Party Wear Women's Printed Cotton Canvas Tote Bag	INR 1950
https://stimg.b-cdn.net/images/450/data/2025y/January/54633/Party-Wear-Women's-Printed-Cotton-Canvas-Tote-Bag-KH-6.jpg	Party Wear Women's Printed Cotton Canvas Tote Bag	INR 1950
https://stimg.b-cdn.net/images/450/data/2025y/January/54633/Party-Wear-Women's-Printed-Cotton-Canvas-Tote-Bag-KH-5.jpg	Party Wear Women's Printed Cotton Canvas Tote Bag	INR 1950
https://stimg.b-cdn.net/images/450/data/2025y/January/54633/Party-Wear-Women's-Printed-Cotton-Canvas-Tote-Bag-KH-4.jpg	Party Wear Women's Printed Cotton Canvas Tote Bag	INR 1950
https://stimg.b-cdn.net/images/450/data/2025y/January/54632/Party-Wear-Women's-Printed-Cotton-Canvas-Tote-Bag-KH-3.jpg	Party Wear Women's Printed Cotton Canvas Tote Bag	INR 1950
https://stimg.b-cdn.net/images/450/data/2025y/January/54632/Party-Wear-Women's-Printed-Cotton-Canvas-Tote-Bag-KH-2.jpg	Party Wear Women's Printed Cotton Canvas Tote Bag	INR 1950
https://stimg.b-cdn.net/images/450/data/2025y/January/54632/Party-Wear-Women's-Printed-Cotton-Canvas-Tote-Bag-KH-1.jpg	Party Wear Women's Printed Cotton Canvas Tote Bag	INR 1950
https://stimg.b-cdn.net/images/450/data/2024y/April/48943/Multi%20Color-Poly%20Satin-Party%20Wear-Hand%20Work-Clutches-CK5-17.jpg	Multi Color Poly Satin Hand Work Party Wear Clutches	INR 1887
https://stimg.b-cdn.net/images/450/data/2024y/April/48943/Yellow-Poly%20Satin-Party%20Wear-Hand%20Work-Clutches-CK5-16.jpg	Yellow Poly Satin Hand Work Party Wear Clutches	INR 1887
https://stimg.b-cdn.net/images/450/data/2024y/April/48943/Pink-Poly%20Satin-Party%20Wear-Hand%20Work-Clutches-CK5-15.jpg	Pink Poly Satin Hand Work Party Wear Clutches	INR 1887
https://stimg.b-cdn.net/images/450/data/2024y/April/48943/Cream-Poly%20Satin-Party%20Wear-Hand%20Work-Clutches-CK5-14.jpg	Cream Poly Satin Hand Work Party Wear Clutches	INR 1887
https://stimg.b-cdn.net/images/450/data/2024y/April/48943/Multi%20Color-Poly%20Satin-Party%20Wear-Hand%20Work-Clutches-CK5-13.jpg	Multi Color Poly Satin Hand Work Party Wear Clutches	INR 1887
https://stimg.b-cdn.net/images/450/data/2024y/April/48943/Cream-Poly%20Satin-Party%20Wear-Hand%20Work-Clutches-CK5-12.jpg	Cream Poly Satin Hand Work Party Wear Clutches	INR 1887
https://stimg.b-cdn.net/images/450/data/2024y/April/48942/Brown-Poly%20Satin-Party%20Wear-Hand%20Work-Clutches-CK5-11.jpg	Brown Poly Satin Hand Work Party Wear Clutches	INR 1887
https://stimg.b-cdn.net/images/450/data/2024y/April/48942/Golden-Poly%20Satin-Party%20Wear-Hand%20Work-Clutches-CK5-10.jpg	Golden Poly Satin Hand Work Party Wear Clutches	INR 1887
https://stimg.b-cdn.net/images/450/data/2024y/April/48942/Pink-Poly%20Satin-Party%20Wear-Hand%20Work-Clutches-CK5-9.jpg	Pink Poly Satin Hand Work Party Wear Clutches	INR 1887
https://stimg.b-cdn.net/images/450/data/2024y/April/48942/White-Poly%20Satin-Party%20Wear-Hand%20Work-Clutches-CK5-8.jpg	White Poly Satin Hand Work Party Wear Clutches	INR 1887
https://stimg.b-cdn.net/images/450/data/2024y/April/48942/Cream-Poly%20Satin-Party%20Wear-Hand%20Work-Clutches-CK5-7.jpg	Cream Poly Satin Hand Work Party Wear Clutches	INR 1887
https://stimg.b-cdn.net/images/450/data/2024y/April/48942/Multi%20Color-Poly%20Satin-Party%20Wear-Hand%20Work-Clutches-CK5-6.jpg	Multi Color Poly Satin Hand Work Party Wear Clutches	INR 1887
https://stimg.b-cdn.net/images/450/data/2024y/April/48941/Golden-Poly%20Satin-Party%20Wear-Hand%20Work-Clutches-CK5-5.jpg	Golden Poly Satin Hand Work Party Wear Clutches	INR 1887
https://stimg.b-cdn.net/images/450/data/2024y/April/48941/Beige-Poly%20Satin-Party%20Wear-Hand%20Work-Clutches-CK5-4.jpg	Beige Poly Satin Hand Work Party Wear Clutches	INR 1887
