lazy src	title-single	main-p
https://stimg.b-cdn.net/images/450/data/2026y/May/61564/Sky-Blue-Satin-Occasional-Wear-Beads-Work-Readymade-Kurta-Pajama-14308(1).jpg	Sky Blue Satin Beads Work Occasional Wear Readymade Kurta Pajama	INR 3645
https://stimg.b-cdn.net/images/450/data/2026y/May/61564/Pink-Fendy-Silk-Occasional-Wear-Sequence-Work-Readymade-Kurta-Pajama-14307(1).jpg	Pink Fendy Silk Sequence Work Occasional Wear Readymade Kurta Pajama	INR 2745
https://stimg.b-cdn.net/images/450/data/2026y/May/61564/White-Fendy-Silk-Occasional-Wear-Sequence-Work-Readymade-Kurta-Pajama-14306(1).jpg	White Fendy Silk Sequence Work Occasional Wear Readymade Kurta Pajama	INR 4995
https://stimg.b-cdn.net/images/450/data/2026y/May/61564/Cream-Fendy-Silk-Occasional-Wear-Sequence-Work-Readymade-Kurta-Pajama-14305(1).jpg	Cream Fendy Silk Sequence Work Occasional Wear Readymade Kurta Pajama	INR 2745
https://stimg.b-cdn.net/images/450/data/2026y/May/61564/Black-Pure-Lachaka-Occasional-Wear-Embroidery-Work-Readymade-Kurta-Pajama-14304(1).jpg	Black Pure Lachaka Embroidery Work Occasional Wear Readymade Kurta Pajama	INR 4595
https://stimg.b-cdn.net/images/450/data/2026y/May/61564/Navy-Blue-Cotton-Occasional-Wear-Beads-Work-Readymade-Kurta-Pajama-14303(1).jpg	Navy Blue Cotton Beads Work Occasional Wear Readymade Kurta Pajama	INR 2945
https://stimg.b-cdn.net/images/450/data/2026y/May/61564/Cream-Fendy-Silk-Occasional-Wear-Beads-Work-Readymade-Kurta-Pajama-14302(1).jpg	Cream Fendy Silk Beads Work Occasional Wear Readymade Kurta Pajama	INR 3645
https://stimg.b-cdn.net/images/450/data/2026y/May/61564/Navy-Blue-Satin-Occasional-Wear-Embroidery-Work-Readymade-Kurta-Pajama-14301(1).jpg	Navy Blue Satin Embroidery Work Occasional Wear Readymade Kurta Pajama	INR 5345
https://stimg.b-cdn.net/images/450/data/2026y/May/61431/Navy-Blue-Roman-Silk-Festival-Wear-Plain-Work-Readymade-Kurta-Pant-With-Koti-359--C(1).jpg	Navy Blue Roman Silk Plain Work Festival Wear Readymade Kurta Pant With Koti	INR 2895
https://stimg.b-cdn.net/images/450/data/2026y/May/61433/Black-Roman-Silk-Festival-Wear-Embroidery-Work-Readymade-Kurta-Pant-With-Koti-359(1).jpg	Black Roman Silk Embroidery Work Festival Wear Readymade Kurta Pant With Koti	INR 2895
https://stimg.b-cdn.net/images/450/data/2026y/May/61434/Beige-Roman-Silk-Occasional-Wear-Embroidery-Work-Readymade-Kurta-Pant-With-Koti-359-B(1).jpg	Beige Roman Silk Embroidery Work Occasional Wear Readymade Kurta Pant With Koti	INR 2895
https://stimg.b-cdn.net/images/450/data/2026y/April/61136/Pink-Cotton--Occasional-Wear-Embroidery-Work-Readymade-Kurta-Pajama-4202-4073-C(1).jpg	Pink Cotton  Embroidery Work Occasional Wear Readymade Kurta Pajama	INR 1745
https://stimg.b-cdn.net/images/450/data/2026y/April/61136/Black-Cotton--Occasional-Wear-Embroidery-Work-Readymade-Kurta-Pajama-4202-4073-B(1).jpg	Black Cotton  Embroidery Work Occasional Wear Readymade Kurta Pajama	INR 1745
https://stimg.b-cdn.net/images/450/data/2026y/April/61136/Yellow-Cotton--Occasional-Wear-Embroidery-Work-Readymade-Kurta-Pajama-4202-4073-A(1).jpg	Yellow Cotton  Embroidery Work Occasional Wear Readymade Kurta Pajama	INR 1745
https://stimg.b-cdn.net/images/450/data/2026y/April/60742/Black-ART-SILK-Wedding-Wear-Nack-Work-N-Button-Work-Readymade-Indo-Western-Sherwani-4252(1).jpg	Black Art Silk Nack Work N Button Work Wedding Wear Readymade Indo Western Sherwani	INR 10945
https://stimg.b-cdn.net/images/450/data/2026y/April/60742/Navy-Blue-ART-SILK-Wedding-Wear-Nack-Work-N-Button-Work-Readymade-Indo-Western-Sherwani-4251(1).jpg	Navy Blue Art Silk Nack Work N Button Work Wedding Wear Readymade Indo Western Sherwani	INR 10945
https://stimg.b-cdn.net/images/450/data/2026y/April/60742/Teal-Blue-ART-SILK-Wedding-Wear-Nack-Work-N-Button-Work-Readymade-Indo-Western-Sherwani-4250(1).jpg	Teal Blue Art Silk Nack Work N Button Work Wedding Wear Readymade Indo Western Sherwani	INR 10945
