image-item src	image-item src 2	link	value
https://manyavar.scene7.com/is/image/manyavar/SB17777_425-RANI_101.26050_03-03-2025-17-42	https://manyavar.scene7.com/is/image/manyavar/SB17777_425-RANI_301.26071_03-03-2025-17-45	Elegance Personified Pink Saree	$ 75
https://manyavar.scene7.com/is/image/manyavar/SB17778_414-PINK_101.26562_03-03-2025-19-23	https://manyavar.scene7.com/is/image/manyavar/SB17778_414-PINK_301.26581_03-03-2025-19-25	Pastel Pink Radiance Saree	$ 75
https://manyavar.scene7.com/is/image/manyavar/SB17825_420-MUSTARD+YELLOW_101.0966_17-03-2025-11-14	https://manyavar.scene7.com/is/image/manyavar/SB17825_420-MUSTARD+YELLOW_301.0982_17-03-2025-11-15	Radiant Mustard Yellow Saree	$ 100
https://manyavar.scene7.com/is/image/manyavar/SAS8141_436-SEA+GREEN_101.28044_04-03-2025-17-51	https://manyavar.scene7.com/is/image/manyavar/SAS8141_436-SEA+GREEN_301.28058_04-03-2025-17-52	Sea Green Radiant Palazzo Suit	$ 150
https://manyavar.scene7.com/is/image/manyavar/SAS8444_416-RED_101.28171_04-03-2025-18-11	https://manyavar.scene7.com/is/image/manyavar/SAS8444_416-RED_301.28189_04-03-2025-18-13	Regal Georgette Red Palazzo Suit	$ 380
https://manyavar.scene7.com/is/image/manyavar/SAS8141_412-PEACH_444.27991_04-03-2025-17-42	https://manyavar.scene7.com/is/image/manyavar/SAS8141_412-PEACH_301.28001_04-03-2025-17-43	Elegant Peach Palazzo Suit	$ 150
https://manyavar.scene7.com/is/image/manyavar/SB15862_425-RANI_101.6135_25-12-2024-17-00	https://manyavar.scene7.com/is/image/manyavar/SB15862_425-RANI_301.6148_25-12-2024-17-01	Dark Pink Zari Weaved Saree	$ 30
https://manyavar.scene7.com/is/image/manyavar/SB17279_414-434-PINK-LIGHT+BLUE_101.7412_26-12-2024-16-28	https://manyavar.scene7.com/is/image/manyavar/SB17279_414-434-PINK-LIGHT+BLUE_301.7424_26-12-2024-16-28	Pink Light Blue Leaf Patterned Saree	$ 40
https://manyavar.scene7.com/is/image/manyavar/SB16660_422-WINE_101.6930_25-12-2024-20-26	https://manyavar.scene7.com/is/image/manyavar/SB16660_422-WINE_301.6944_25-12-2024-20-27	Windsor Wine Stone Embellished Saree	$ 305
https://manyavar.scene7.com/is/image/manyavar/SB16139_422-WINE_101.7622_26-12-2024-17-07	https://manyavar.scene7.com/is/image/manyavar/SB16139_422-WINE_301.7635_26-12-2024-17-08	Raspberry Wine Floral Patterned Stone Work Saree	$ 305
https://manyavar.scene7.com/is/image/manyavar/SB16556_425-RANI_101.7779_26-12-2024-17-48	https://manyavar.scene7.com/is/image/manyavar/SB16556_425-RANI_301.7788_26-12-2024-17-49	Rani Pink Lotus Leaf Patterned Saree	$ 75
https://manyavar.scene7.com/is/image/manyavar/PSB006_439-INDIGO+BLUE_101.4904_24-12-2024-10-47	https://manyavar.scene7.com/is/image/manyavar/PSB006_439-INDIGO+BLUE_301.4910_24-12-2024-10-48	Indigo Blue Extravagance Draped Saree	$ 430
https://manyavar.scene7.com/is/image/manyavar/SKTD4693_421-BEIGE_101.35883_23-10-2024-22-18	https://manyavar.scene7.com/is/image/manyavar/SKTD4693_421-BEIGE_301.35903_23-10-2024-22-21	Elegant Beige Lehenga	$ 330
https://manyavar.scene7.com/is/image/manyavar/NMSKT0095_425-RANI_101.18737_03-09-2024-19-22	https://manyavar.scene7.com/is/image/manyavar/NMSKT0095_425-RANI_301.18758_03-09-2024-19-23	Rani Red Jaal Embroidered Crop Top Lehenga with Mirror & Rhinestone Work	$ 305
https://manyavar.scene7.com/is/image/manyavar/SB17563_436-SEA+GREEN_101.20474_04-09-2024-17-13	https://manyavar.scene7.com/is/image/manyavar/SB17563_436-SEA+GREEN_301.20490_04-09-2024-17-14	Sea Green Bel Buti Patterned Saree	$ 40
https://manyavar.scene7.com/is/image/manyavar/SB16556_414-PINK_101.19600_03-09-2024-23-31	https://manyavar.scene7.com/is/image/manyavar/SB16556_414-PINK_301.19632_03-09-2024-23-33	Bubblegum Pink Leaf Patterned Saree	$ 75
https://manyavar.scene7.com/is/image/manyavar/NMSAS6795_426-T.BLUE_101.18377_03-09-2024-17-27	https://manyavar.scene7.com/is/image/manyavar/NMSAS6795_426-T.BLUE_301.18393_03-09-2024-17-28	Teal Blue Anarkali Suit Set with Linear Buta Embroidered Kurta & Potli Button Trims	$ 225
