image-item src	image-item src 2	link	value
https://manyavar.scene7.com/is/image/manyavar/SB18082-422-WINE-1-101_04-02-2026-13-05	https://manyavar.scene7.com/is/image/manyavar/SB18082-422-WINE-4-301_04-02-2026-13-06	Wine Red Festivity Saree	$ 30
https://manyavar.scene7.com/is/image/manyavar/SB18082-440-RUST+RED-1-101_04-02-2026-12-47	https://manyavar.scene7.com/is/image/manyavar/SB18082-440-RUST+RED-4-301_04-02-2026-12-47	Radiant Rust Red Saree	$ 30
https://manyavar.scene7.com/is/image/manyavar/SB17617-445-LILAC-1-101_05-02-2026-06-57	https://manyavar.scene7.com/is/image/manyavar/SB17617-445-LILAC-4-301_05-02-2026-06-58	Lilac Rhapsody Saree	$ 30
https://manyavar.scene7.com/is/image/manyavar/SB19121-426-T.BLUE-1-101_04-02-2026-10-32	https://manyavar.scene7.com/is/image/manyavar/SB19121-426-T.BLUE-4-301_04-02-2026-10-33	Elegant Teal Blue Saree	$ 65
https://manyavar.scene7.com/is/image/manyavar/SB18724-414-PINK-1-101_05-02-2026-06-54	https://manyavar.scene7.com/is/image/manyavar/SB18724-414-PINK-4-301_05-02-2026-06-56	Elegant Pink Georgette Saree	$ 125
https://manyavar.scene7.com/is/image/manyavar/SB19013-409-MEHANDI-1-101_05-02-2026-06-38	https://manyavar.scene7.com/is/image/manyavar/SB19013-409-MEHANDI-4-301_05-02-2026-06-38	Regal Mehandi Green Organza Saree	$ 150
https://manyavar.scene7.com/is/image/manyavar/SB18970-411-PISTA-1-101_04-02-2026-09-12	https://manyavar.scene7.com/is/image/manyavar/SB18970-411-PISTA-3-301_04-02-2026-09-12	Emerald Elegance Saree	$ 150
https://manyavar.scene7.com/is/image/manyavar/SB18767-422-WINE-1-101_04-02-2026-07-53	https://manyavar.scene7.com/is/image/manyavar/SB18767-422-WINE-3-301_04-02-2026-07-53	Wine Enchantment Saree	$ 75
https://manyavar.scene7.com/is/image/manyavar/SB18779-435-BOTTLE+GREEN-6-101_04-02-2026-07-29	https://manyavar.scene7.com/is/image/manyavar/SB18779-435-BOTTLE+GREEN-4-301_04-02-2026-07-28	Chic Bottle Green Saree	$ 125
https://manyavar.scene7.com/is/image/manyavar/SB18987-402-CREAM-1-101_04-02-2026-11-56	https://manyavar.scene7.com/is/image/manyavar/SB18987-402-CREAM-5-301_04-02-2026-11-57	Ethereal Cream Organza Saree	$ 125
https://manyavar.scene7.com/is/image/manyavar/SB18767-435-BOTTLE+GREEN-1-101_05-02-2026-06-22	https://manyavar.scene7.com/is/image/manyavar/SB18767-435-BOTTLE+GREEN-4-301_05-02-2026-06-23	Bottle Green Celebration Saree	$ 75
https://manyavar.scene7.com/is/image/manyavar/SB19121-433-RAMA+GREEN-1-101_04-02-2026-08-09	https://manyavar.scene7.com/is/image/manyavar/SB19121-433-RAMA+GREEN-3-301_04-02-2026-08-09	Emerald Elegance Saree	$ 65
https://manyavar.scene7.com/is/image/manyavar/SB18827-402-CREAM-1-101_04-02-2026-09-04	https://manyavar.scene7.com/is/image/manyavar/SB18827-402-CREAM-3-301_04-02-2026-09-05	Cream Elegance Saree	$ 125
https://manyavar.scene7.com/is/image/manyavar/SB18963-434-LIGHT+BLUE-1-101_04-02-2026-12-29	https://manyavar.scene7.com/is/image/manyavar/SB18963-434-LIGHT+BLUE-5-301_04-02-2026-12-29	Fluttering Light Blue Saree	$ 75
https://manyavar.scene7.com/is/image/manyavar/SB18083-422-WINE-1-101_04-02-2026-08-16	https://manyavar.scene7.com/is/image/manyavar/SB18083-422-WINE-3-301_04-02-2026-08-17	Wine Tint Saree Elegance	$ 30
https://manyavar.scene7.com/is/image/manyavar/SB19077-402-CREAM-1-101_04-02-2026-12-16	https://manyavar.scene7.com/is/image/manyavar/SB19077-402-CREAM-5-301_04-02-2026-12-17	Elegant Chiffon Cream Saree	$ 430
https://manyavar.scene7.com/is/image/manyavar/SB18738-443-DUSTY+PINK-1-101_04-02-2026-09-17	https://manyavar.scene7.com/is/image/manyavar/SB18738-443-DUSTY+PINK-3-301_04-02-2026-09-18	Dusty Pink Elegance Banarasi Saree	$ 150
