image-item src	image-item src 2	producttag-text	link	value
https://manyavar.scene7.com/is/image/manyavar/CPIW679_303-Beige_101.12641_31-08-2024-18-34:283x395	https://manyavar.scene7.com/is/image/manyavar/CPIW679_303-Beige_301.12644_31-08-2024-18-34:283x395	Wedding wear	Cream Self Design Indo Western	$ 405
https://manyavar.scene7.com/is/image/manyavar/8903035936806.9326_25-04-2023-19-14:283x395	https://manyavar.scene7.com/is/image/manyavar/8903035936806.9321_25-04-2023-19-13:283x395	Shaadi Look	Cream Bel Buti Patterned Sherwani set	$ 405
https://manyavar.scene7.com/is/image/manyavar/8905100831740.11077_26-04-2023-21-51:283x395	https://manyavar.scene7.com/is/image/manyavar/8905100831740.11081_26-04-2023-21-52:283x395	Wedding wear	Soft Pink Medallion Patterned Indo Western Set	$ 430
https://manyavar.scene7.com/is/image/manyavar/IDE5792_341.0832_19-07-2023-11-57:283x395	https://manyavar.scene7.com/is/image/manyavar/IDE5792_341.0835_19-07-2023-11-57:283x395	Wedding wear	Tropical Blue Medallion Patterned Indo Western Set	$ 430
https://manyavar.scene7.com/is/image/manyavar/M10682_09-11-2022-11-42:283x395	https://manyavar.scene7.com/is/image/manyavar/M10663_09-11-2022-11-41:283x395	Wedding wear	Off White Medallion Patterened Brocade Indo Western Set	$ 430
https://manyavar.scene7.com/is/image/manyavar/SH0S287D_304-FAWN.13349_27-08-2023-21-55:283x395	https://manyavar.scene7.com/is/image/manyavar/SH0S287D_304-FAWN.13344_27-08-2023-21-54:283x395		Antique Gold Stone Work Sherwani Set	$ 860
https://manyavar.scene7.com/is/image/manyavar/CPSH291_302-CREAM.8158_15-10-2023-21-46:283x395	https://manyavar.scene7.com/is/image/manyavar/CPSH291_302-CREAM.8163_15-10-2023-21-47:283x395		Dew Pink Flower Bud Patterned Sherwani Set	$ 405
https://manyavar.scene7.com/is/image/manyavar/ODES1114_340-Warm+White_101.16289_29-01-2025-21-02:283x395	https://manyavar.scene7.com/is/image/manyavar/ODES1114_340-Warm+White_301.16290_29-01-2025-21-03:283x395		Efervescencia Warm White Sherwani	$ 430
https://manyavar.scene7.com/is/image/manyavar/IDES1008_382-Lilac_101.15976_29-01-2025-19-12:283x395	https://manyavar.scene7.com/is/image/manyavar/IDES1008_382-Lilac_301.15978_29-01-2025-19-12:283x395		Lilac Dream Fusion Indo Western	$ 355
https://manyavar.scene7.com/is/image/manyavar/SHOS368D_304-Fawn_101.2338_26-11-2024-18-03:283x395	https://manyavar.scene7.com/is/image/manyavar/SHOS368D_304-Fawn_301.2341_26-11-2024-18-04:283x395		Fawn Imperial Embroidered Sherwani Set with Sequin Work	$ 935
https://manyavar.scene7.com/is/image/manyavar/SHOS413_340-Warm+White_101.2225_26-11-2024-17-29:283x395	https://manyavar.scene7.com/is/image/manyavar/SHOS413_340-Warm+White_301.2229_26-11-2024-17-29:283x395	Shaadi Look	Warm White Exquisiteness Sherwani	$ 530
https://manyavar.scene7.com/is/image/manyavar/SHOS432-303-Beige-101_19-01-2021-17-58:283x395	https://manyavar.scene7.com/is/image/manyavar/SHOS432-303-Beige-301_19-01-2021-11-29:283x395		Beige Royalty Open Sherwani	$ 630
https://manyavar.scene7.com/is/image/manyavar/SHOS435-303-Beige-101_20-01-2021-21-06:283x395	https://manyavar.scene7.com/is/image/manyavar/SHOS435-303-Beige-301_20-01-2021-14-36:283x395		Champagne Elegance Sherwani	$ 530
https://manyavar.scene7.com/is/image/manyavar/SHOS438-303-Beige-101-Prolific+Artists_18-01-2021-23-35:283x395	https://manyavar.scene7.com/is/image/manyavar/SHOS438-303-Beige-301_18-01-2021-17-05:283x395		Champagne Elegance Sherwani	$ 530
https://manyavar.scene7.com/is/image/manyavar/SHOS454_303-Beige_101.8962_26-02-2026-15-53:283x395	https://manyavar.scene7.com/is/image/manyavar/SHOS454_303-Beige_301.8967_26-02-2026-15-54:283x395		Regal Beige Open Sherwani Set	$ 580
https://manyavar.scene7.com/is/image/manyavar/TODS1188_386-Champagne_101.9012_26-02-2026-16-14:283x395	https://manyavar.scene7.com/is/image/manyavar/TODS1188_386-Champagne_301.9015_26-02-2026-16-15:283x395		Champagne Regal Open Sherwani	$ 755
https://manyavar.scene7.com/is/image/manyavar/SHOS419D_386-Champagne_101.8895_26-02-2026-15-34:283x395	https://manyavar.scene7.com/is/image/manyavar/SHOS419D_386-Champagne_301.8900_26-02-2026-15-35:283x395		Champagne Opulence Sherwani	$ 860
https://manyavar.scene7.com/is/image/manyavar/SHOS454_376-Natural_101.8769_26-02-2026-15-56:283x395	https://manyavar.scene7.com/is/image/manyavar/SHOS454_376-Natural_301.8773_26-02-2026-15-57:283x395		Natural Beige Open Sherwani	$ 580
https://manyavar.scene7.com/is/image/manyavar/TODS368-301-White-4_03-12-2025-11-51:283x395	https://manyavar.scene7.com/is/image/manyavar/TODS368-301-White-5-301_03-12-2025-11-51:283x395		Imperial White Elegance Sherwani	$ 630
https://manyavar.scene7.com/is/image/manyavar/TODS368-386-Champagne-404_02-12-2025-15-50:283x395	https://manyavar.scene7.com/is/image/manyavar/TODS368-386-Champagne-405_02-12-2025-15-50:283x395		Champagne Splendor Sherwani	$ 630
https://manyavar.scene7.com/is/image/manyavar/SHOS447-303-Beige-404_01-12-2025-10-54:283x395	https://manyavar.scene7.com/is/image/manyavar/SHOS447-303-Beige-405_01-12-2025-16-24:283x395		Beige Elegance Open Sherwani	$ 805
https://manyavar.scene7.com/is/image/manyavar/ODES1136-303-Beige-101_19-01-2021-17-55:283x395	https://manyavar.scene7.com/is/image/manyavar/ODES1136-303-Beige-301_19-01-2021-11-25:283x395		Regal Beige Sherwani	$ 355
https://manyavar.scene7.com/is/image/manyavar/SHOS439-340-Warm+White-101_20-01-2021-20-50:283x395	https://manyavar.scene7.com/is/image/manyavar/SHOS439-340-Warm+White-301_20-01-2021-14-20:283x395		Elegant White Sherwani	$ 530
https://manyavar.scene7.com/is/image/manyavar/SHOS432-340-Warm+White-101_19-01-2021-20-51:283x395	https://manyavar.scene7.com/is/image/manyavar/SHOS432-340-Warm+White-301_19-01-2021-14-22:283x395		Majestic Warm White Open Sherwani	$ 630
https://manyavar.scene7.com/is/image/manyavar/SOSK823-302-Cream-404_02-12-2025-14-44:283x395	https://manyavar.scene7.com/is/image/manyavar/SOSK823-302-Cream-405_02-12-2025-14-45:283x395		Cream Kurta Pancha Set	$ 305
https://manyavar.scene7.com/is/image/manyavar/SOSK819-302-Cream-406_01-12-2025-09-21:283x395	https://manyavar.scene7.com/is/image/manyavar/SOSK819-302-Cream-407_01-12-2025-14-52:283x395		Radiant Cream Veshti Dhoti	$ 305
