lazy src	title-single	main-p
https://stimg.b-cdn.net/images/450/data/2026y/May/61578/Pink-Georgette-Festival-Wear-Embroidery-Work-Readymade-Plazzo-Suit-6160-245-A(1).jpg	Pink Georgette Embroidery Work Festival Wear Readymade Plazzo Suit	INR 2695
https://stimg.b-cdn.net/images/450/data/2026y/May/61578/Sky-Blue-Georgette-Festival-Wear-Embroidery-Work-Readymade-Plazzo-Suit-6160-245-B(1).jpg	Sky Blue Georgette Embroidery Work Festival Wear Readymade Plazzo Suit	INR 2695
https://stimg.b-cdn.net/images/450/data/2026y/May/61577/Beige-Chanderi-Silk-Occasional-Wear-Embroidery-Work-Readymade-Pant-Suit-6158-8318-B(1).jpg	Beige Chanderi Silk Embroidery Work Occasional Wear Readymade Pant Suit	INR 2095
https://stimg.b-cdn.net/images/450/data/2026y/May/61577/Blue-Chanderi-Silk-Occasional-Wear-Embroidery-Work-Readymade-Pant-Suit-6158-8318-A(1).jpg	Blue Chanderi Silk Embroidery Work Occasional Wear Readymade Pant Suit	INR 2095
https://stimg.b-cdn.net/images/450/data/2026y/May/61576/Orange--Roman-Silk-Festival-Wear-Embroidery-Work-Readymade-Ethnic-Wear-6157-7474-D(1).jpg	Orange  Roman Silk Embroidery Work Festival Wear Readymade Ethnic Wear	INR 2695
https://stimg.b-cdn.net/images/450/data/2026y/May/61576/Green-Roman-Silk-Festival-Wear-Embroidery-Work-Readymade-Ethnic-Wear-6157-7474-C(1).jpg	Green Roman Silk Embroidery Work Festival Wear Readymade Ethnic Wear	INR 2695
https://stimg.b-cdn.net/images/450/data/2026y/May/61576/Wine--Roman-Silk-Festival-Wear-Embroidery-Work-Readymade-Ethnic-Wear-6157-7474-B(1).jpg	Wine  Roman Silk Embroidery Work Festival Wear Readymade Ethnic Wear	INR 2695
https://stimg.b-cdn.net/images/450/data/2026y/May/61575/Sky-Blue--Organza-Silk-Occasional-Wear-Embroidery-Work-Readymade-Pant-Suit-3232-C-1450(1).jpg	Sky Blue  Organza Silk Embroidery Work Occasional Wear Readymade Pant Suit	INR 2345
https://stimg.b-cdn.net/images/450/data/2026y/May/61575/Black-Organza-Silk-Occasional-Wear-Embroidery-Work-Readymade-Pant-Suit-3232-B-1450(1).jpg	Black Organza Silk Embroidery Work Occasional Wear Readymade Pant Suit	INR 2345
https://stimg.b-cdn.net/images/450/data/2026y/May/61575/Green-Organza-Silk-Occasional-Wear-Embroidery-Work-Readymade-Pant-Suit-3232-A-1450(1).jpg	Green Organza Silk Embroidery Work Occasional Wear Readymade Pant Suit	INR 2345
https://stimg.b-cdn.net/images/450/data/2026y/May/61632/White-Georgette-Occasional-Wear-Embroidery-Work-Mother-Daughter-Combo-Readymade-Plazzo-Suit-6159-2063-5(1).jpg	White Georgette Embroidery Work Occasional Wear Mother Daughter Combo Readymade Plazzo Suit	INR 5545
https://stimg.b-cdn.net/images/450/data/2026y/May/61632/Purple-Georgette-Occasional-Wear-Embroidery-Work-Mother-Daughter-Combo-Readymade-Plazzo-Suit-6159-2063-4(1).jpg	Purple Georgette Embroidery Work Occasional Wear Mother Daughter Combo Readymade Plazzo Suit	INR 5545
